epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,weight_decay,dropout,seed,batch_size_from_dir,lr_from_dir,run_name,run_dir
15,0.6350782985475328,0.8543275147544013,0.7740092240183347,0.7005233863069656,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
16,0.617653382756975,0.8111866355048286,0.8027240544595813,0.7170998113396725,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
17,0.594657337390052,0.8022676037788391,0.8047112657922378,0.7168245227193161,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
18,0.5696356751971775,0.7984779628912608,0.8143476286358057,0.7188939075430264,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
19,0.5501578964021471,0.815612008913358,0.8208486729482687,0.7186421899454746,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
20,0.5302609324667189,0.7818692400614421,0.8442516476650296,0.7301209676277887,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
21,0.5118525687800514,0.796366588083903,0.8462717257822787,0.7270427306481038,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
22,0.494868307823605,0.8135891195615133,0.8509560939231473,0.7291577461805804,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
23,0.4752197451591491,0.8612779604170058,0.8390656630372547,0.7206762134798955,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
24,0.460735279390547,0.8252972990141975,0.8627576606310059,0.7254890814995323,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
25,0.4455686987770928,0.8468390376620822,0.866347849967547,0.7256525997953167,0.01,128,mbv2,0,0.0,123,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_123
0,1.769705315928989,1.5019195320765175,0.4296883935500578,0.4230437203345137,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
1,1.3878274168862237,1.3876395407994588,0.4928766351011693,0.4846958460240572,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
2,1.2192683631579082,1.3567672853893704,0.5308964833225227,0.5186599372993318,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
3,1.1129670382181804,1.1400380406273736,0.5950425842203693,0.5767355082158898,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
4,1.0308133198420206,1.0632626449637943,0.6264889175470827,0.6056194052350946,0.01,128,mbv2,0,0.0,2024,128,0.01,mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\dropout_nowe\experiments\mbv2_bs128_lr1e-2_wd_0_dp_0_seed_2024
