epoch,seed,n_shots,train_loss,train_f1,val_loss,val_f1
1,42,5,3.9102935791015625,0.1064957264957265,60.010911304657924,0.01818181818181818
2,42,5,2.917440176010132,0.1621330360460795,121.4884092635473,0.01821056584462039
3,42,5,3.6631274223327637,0.28594155844155844,437.32140633700294,0.01818181818181818
4,42,5,2.2590725421905518,0.39349567099567107,504.13364599610566,0.01818181818181818
5,42,5,1.3565125465393066,0.588124098124098,281.5464149682805,0.018780052321369173
6,42,5,1.1298480033874512,0.60502886002886,212.86843848625503,0.01864813433400133
7,42,5,0.7320175170898438,0.7577777777777778,154.3089434714744,0.019062810774757855
8,42,5,0.5756944417953491,0.8188616938616938,117.06520192670222,0.020544886803093926
9,42,5,0.5597373843193054,0.8580808080808081,86.36406923814573,0.032427164757488344
10,42,5,0.4132344126701355,0.8977272727272727,66.40369240818049,0.038510380505848374
11,42,5,0.333708256483078,0.8762626262626263,48.644078195325285,0.05112132131532401
12,42,5,0.18622273206710815,0.9595959595959596,37.27921642297109,0.0686974345446025
13,42,5,0.1649048775434494,0.9395959595959595,29.543191849676766,0.084211335453029
14,42,5,0.09452047199010849,0.9797979797979798,24.604444407780964,0.08718175987619854
15,42,5,0.1294674426317215,0.9393939393939394,21.533556459596422,0.07223815158921273
16,42,5,0.1237211599946022,0.9797979797979798,19.39388003463745,0.07597683384293401
17,42,5,0.0724472776055336,1.0,18.234582851960923,0.07593378315185613
18,42,5,0.027926936745643616,1.0,17.67335840564304,0.07374392477323931
19,42,5,0.04008585959672928,1.0,17.097065326775446,0.07270015173402504
20,42,5,0.03218222036957741,1.0,16.402779584376017,0.07472239805531451
21,42,5,0.02983037941157818,1.0,15.844459963840908,0.07855575631426263
22,42,5,0.01032601110637188,1.0,15.230873650826348,0.08356029033264557
23,42,5,0.01743295229971409,1.0,14.642036677466498,0.09021610260922996
24,42,5,0.03659939765930176,0.9797979797979798,13.942329891226027,0.09780879932615566
25,42,5,0.013975651003420353,1.0,13.258967500199212,0.10661288489988821
1,123,5,4.098844051361084,0.1312121212121212,67.07457950966561,0.01820440278374471
2,123,5,3.8611299991607666,0.15055555555555555,177.3006482519984,0.01818200183840241
3,123,5,4.085346698760986,0.21972222222222224,540.7336668342148,0.01818181818181818
4,123,5,2.305577039718628,0.31188141923436036,443.0412483922767,0.01818181818181818
5,123,5,1.6897406578063965,0.40597069597069596,236.94458802365264,0.02162428318329488
6,123,5,1.3304030895233154,0.5744932844932845,163.19407929948215,0.03248011678495134
7,123,5,1.3020501136779785,0.49795815295815293,127.41633693322076,0.03867188844539798
8,123,5,1.0651119947433472,0.6314393939393939,112.20520244024065,0.033726953801789444
9,123,5,0.9509040713310242,0.6958441558441558,69.68759594847361,0.03790853774620531
10,123,5,0.7318344712257385,0.7662481962481962,47.55386567187839,0.0443747882316009
11,123,5,0.7757595777511597,0.7947186147186146,40.86709286681281,0.039790420897896535
12,123,5,0.7071086764335632,0.8004545454545454,36.870652298227945,0.038760492468155876
13,123,5,0.5806794166564941,0.8373232323232322,33.82528702273898,0.03900408912951805
14,123,5,0.4479930102825165,0.8499494949494949,30.09462280875312,0.040766091161106896
15,123,5,0.4701278805732727,0.8595454545454546,24.2322473520067,0.04881777759384604
16,123,5,0.3912256360054016,0.8992424242424244,18.077327614000108,0.06697814402164466
17,123,5,0.24963636696338654,0.9568181818181818,14.719679420979817,0.0852785625511048
18,123,5,0.23536114394664764,0.9207070707070708,12.938242077636719,0.1009671825709495
19,123,5,0.16864505410194397,0.9600000000000002,11.690172239515517,0.11550299825164664
20,123,5,0.13496625423431396,0.9797979797979799,10.686092174614801,0.1274123537207828
21,123,5,0.19256587326526642,0.9595959595959596,10.740451869625515,0.12819114090207165
22,123,5,0.07359342277050018,1.0,11.428430499606662,0.12303130923504338
23,123,5,0.11750072240829468,0.9797979797979798,11.666898620096843,0.1234613206720562
24,123,5,0.14473506808280945,0.9595959595959596,11.435443513488769,0.1297265451951684
25,123,5,0.05891963094472885,0.9797979797979798,11.542884032185873,0.1336821607374401
1,2024,5,4.03908634185791,0.05268542199488491,34.59076734515791,0.01818200183840241
2,2024,5,3.2912609577178955,0.18692002442002442,642.9692135636542,0.01818200183840241
3,2024,5,4.236884593963623,0.20739926739926742,766.005575973916,0.018190638865586563
4,2024,5,3.215568780899048,0.3071428571428571,586.961264754634,0.018176437546643713
5,2024,5,2.2121214866638184,0.29968253968253966,539.6210652287863,0.04553045498315748
6,2024,5,1.935036063194275,0.34083361083361086,360.278396747319,0.042745029993764366
7,2024,5,1.8634731769561768,0.37590909090909086,295.38196993706725,0.025893019612092595
8,2024,5,1.4244873523712158,0.5509728867623604,246.38998561138578,0.0389953155176439
9,2024,5,1.0514389276504517,0.62,210.10253011557262,0.03625185042789962
10,2024,5,1.0173389911651611,0.61002886002886,164.13259228917994,0.027517634725654355
11,2024,5,1.0136774778366089,0.5737173937173938,130.23498086472028,0.023294959303004438
12,2024,5,0.853659987449646,0.6680919080919081,102.64333115844342,0.0270540554891259
13,2024,5,0.743567705154419,0.6950432900432901,87.77758459759671,0.03755978885386678
14,2024,5,0.4770240783691406,0.832020202020202,76.08956771130032,0.039084017597187895
15,2024,5,0.5880749225616455,0.7750233100233099,65.16921974216038,0.03736946404008631
16,2024,5,0.40594151616096497,0.8781313131313132,53.137763720406426,0.03760290597980935
17,2024,5,0.4218910336494446,0.8914862914862913,40.98406030862596,0.03955270821300745
18,2024,5,0.26356953382492065,0.9597979797979799,34.0216246776157,0.04119887190530432
19,2024,5,0.22895561158657074,0.9595959595959596,29.015444088957043,0.04372713530373726
20,2024,5,0.29005947709083557,0.9797979797979799,32.683715416463215,0.042074275802492414
21,2024,5,0.17876501381397247,0.9797979797979798,35.125920734681024,0.04332009600030485
22,2024,5,0.17182259261608124,0.9797979797979798,34.31068765147527,0.04817034388738959
23,2024,5,0.16764689981937408,0.9597979797979799,30.558553863981036,0.05395371108420309
24,2024,5,0.143455371260643,0.9568181818181818,26.000936697684395,0.06266434436392773
25,2024,5,0.09502620995044708,0.9797979797979799,21.57060287606981,0.07376852544308413
1,7,5,3.252370595932007,0.13882232462877622,41.82434074726914,0.018226798797268157
2,7,5,3.0507848262786865,0.266998556998557,240.02932459310162,0.01820440278374471
3,7,5,4.053117275238037,0.2687853692201518,874.569557362098,0.018189167340339533
4,7,5,2.498178005218506,0.3627941176470588,1451.0175079851049,0.01979854531700191
5,7,5,1.775887131690979,0.40527417027417023,1604.0838106244908,0.018214499949341288
6,7,5,1.2607342004776,0.5243198906356801,1240.5635021457686,0.018345182984837866
7,7,5,1.0910533666610718,0.5580924630924631,950.5544575163801,0.018282777149247757
8,7,5,0.8533340692520142,0.666083916083916,755.8601511997342,0.01826168799634256
9,7,5,0.8005265593528748,0.6747008547008547,572.154928813466,0.01835758578880512
10,7,5,0.8236861228942871,0.7473237873237873,350.7959920820449,0.018711241060653264
11,7,5,0.5832533240318298,0.7007614607614607,233.08920035285297,0.020325632416412963
12,7,5,0.48025229573249817,0.8072943722943723,174.7300384986708,0.026412884547382276
13,7,5,0.39121705293655396,0.8698701298701298,145.2303917038214,0.033403930504626006
14,7,5,0.4596412181854248,0.8507070707070706,134.66717116242054,0.0316838025066392
15,7,5,0.3845022916793823,0.8957070707070708,125.33029968117869,0.030353379129335417
16,7,5,0.29284632205963135,0.9181313131313132,110.87234316855023,0.030528707559935597
17,7,5,0.30441081523895264,0.9181313131313132,99.70822574809878,0.03176113958944456
18,7,5,0.1570368856191635,0.9797979797979798,89.17976182005681,0.034179670773185865
19,7,5,0.1927247941493988,0.9797979797979798,80.31623528011308,0.03720775668414703
20,7,5,0.13355423510074615,0.9595959595959596,73.05521303586426,0.03996862303999764
21,7,5,0.12902326881885529,0.9595959595959597,66.97999297204875,0.04399636802090824
22,7,5,0.11935745924711227,0.9797979797979798,59.70336891252625,0.04985824092434226
23,7,5,0.10663076490163803,1.0,50.96124148810804,0.05964749530316622
24,7,5,0.0708211213350296,0.9797979797979798,42.457379875304966,0.07118300132872393
25,7,5,0.04475471377372742,1.0,35.54857030386395,0.084316592919089
1,999,5,5.52471923828125,0.02742857142857143,44.643912158745195,0.0181823691627019
