n_shots,total_samples,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
5,50,0.09367686966904486,0.023715466618187245,0.0940872684112398,0.02421254506324826
10,100,0.21438660860583103,0.011969282037087617,0.21518886483619665,0.011144803771318034
20,200,0.2020205030279328,0.00886954795203678,0.20202055277350986,0.009964553631637969
