epoch,seed,config,train_loss,train_f1,val_loss,val_f1
1,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,1.5591035360336303,0.4239699977875008,1.3402176406648425,0.508591805606972
2,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,1.182567334429423,0.5675014174595603,1.253030101860894,0.5573314511808033
3,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,1.033248252190484,0.6279546809021532,0.9978031346638997,0.6402106484788123
4,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.9299016516579522,0.6679635331265151,0.9075911504056718,0.6697710377413955
5,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.8445988883972168,0.6979210776035923,0.9600120957162646,0.6626744723693749
6,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.7724936690648396,0.7237920735114928,0.8609834064589607,0.7020255931546824
7,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.7013381500879924,0.7491806650323893,0.8884237348397572,0.7028193467642849
8,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.6356621338950263,0.7717567737560437,0.8355270221948624,0.7176668621169953
9,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.5750114448123508,0.793986531390929,0.9442577628294627,0.6887535045937204
10,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.5161985271030002,0.8127213779813918,0.8977393229193158,0.7126427784737775
11,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.4638318130148782,0.8319953605574663,0.9599186729285452,0.7137198732463506
12,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.4176988370895386,0.8492340384175835,0.9407209051556057,0.7213675858034142
13,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.3805334219349755,0.8631757516377141,0.9565833966626062,0.7174562756855822
14,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.3388400847117106,0.8786670340621603,1.04724320388635,0.7115551217624929
15,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.30731199209425186,0.8898468933946756,1.0358082791010539,0.7228617958210173
16,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.28192797006766,0.8982061262748193,1.0545087248086928,0.7234049233362425
17,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.2601025839832094,0.9067430338332919,1.1653427718189027,0.7247305018594263
