epoch,seed,config,train_loss,train_f1,val_loss,val_f1
1,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,1.672249057261149,0.4223266265344721,1.16800181128184,0.575722265030396
2,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,1.3692130839453802,0.5528985814501703,1.0441077981736926,0.6316371485578743
3,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,1.2689068198945788,0.5986262422506217,0.8846830109066434,0.6872566713573341
4,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,1.1840887923028733,0.6324199245630711,0.8969399303648207,0.691636069206764
5,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,1.1130477659013536,0.6587786971735724,0.8545074048784044,0.6870879403313181
6,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,1.062611349275377,0.6798636484927528,0.8118156789779664,0.7189924426091935
7,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,1.0218358550018733,0.6959110931709865,0.7751906941943698,0.7332509682308916
8,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.9765671044137743,0.7136709673898224,0.8075672853204939,0.7312037628216383
9,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.9392946004125807,0.7280820855494247,0.818751222038269,0.7225757795539318
10,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.8950147587882148,0.7440421352560737,0.8120989889462789,0.720446263999639
11,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.8790319664531284,0.7525490852865913,0.7657431152502696,0.7388399778579429
12,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.8690819008323881,0.7588070433043862,0.7874857311884562,0.7331220230889328
13,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.851847499885824,0.7654376260055077,0.7860952885309855,0.7359362861488546
14,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.8107327849732505,0.7791666599780802,0.796553261258867,0.7338170193388518
15,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.7898940175122685,0.7857501327400338,0.7953127219756444,0.7302766501662248
16,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.7963860801763005,0.7884407462582717,0.8007518182595571,0.736335157388142
17,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.7780844455420971,0.7917576723537095,0.8609347097635269,0.7371643980787282
18,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.7814333884994189,0.7919546646982146,0.7979627207067278,0.7350301110721694
19,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.7556065775834852,0.7992743629693683,0.8160989508416917,0.7321717809968715
20,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.7687100108822187,0.8017465542911337,0.7749654647827149,0.7437272659166186
21,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.7461803770326906,0.8066235442028095,0.7769364386346606,0.7394994585958291
22,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.7503802219708761,0.8070609263855563,0.807371453777949,0.7356848806697137
23,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.7261676382250256,0.8149481844946449,0.7706609632968903,0.7406051586461315
24,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.721926578207314,0.8136810870690756,0.7992239809619056,0.7428619646299006
25,42,LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=cutmix_alpha1,0.7230604742091563,0.8148422589545815,0.7969713654120764,0.7374146228028682
