config,lr,batch_size,dropout,weight_decay,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=none,0.01,64,0.3,0.0,0.7234442106797369,0.0017712887690173795,0.7209069955817886,0.0022610197431533856
LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=flip,0.01,64,0.3,0.0,0.7564161606061027,0.0017724040840229325,0.7535330015054114,0.00234130679074235
LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=blur,0.01,64,0.3,0.0,0.7179121411757369,0.0022631811904922534,0.7157847992933368,0.0021246277874238683
LR=1e-02_BS=64_dropout=0.3_wd=0.0_aug=jitter,0.01,64,0.3,0.0,0.7162819719276587,0.00276779906660819,0.7144078897767819,0.0023945923441840923
