epoch,seed,config,train_loss,train_f1,val_loss,val_f1
1,42,LR=1e-04_BS=16,0.9995401736895243,0.64548156736137,0.6930209732073876,0.7521078348026278
2,42,LR=1e-04_BS=16,0.6462285635179944,0.7725841245471197,0.6265815817881376,0.7736962820041997
3,42,LR=1e-04_BS=16,0.4581919915013843,0.837278319131768,0.6159647202091912,0.7864493932795711
4,42,LR=1e-04_BS=16,0.3173575930539105,0.8867424188768116,0.6335832687716776,0.7946112384255624
5,42,LR=1e-04_BS=16,0.2130792442806893,0.9240395755968045,0.7005413222825776,0.7947292436012697
6,42,LR=1e-04_BS=16,0.15683353026045693,0.944748804600375,0.8041401636740303,0.7858470681566974
7,42,LR=1e-04_BS=16,0.1273910383897523,0.9558372472781237,0.8224746195841504,0.7926928582853116
8,42,LR=1e-04_BS=16,0.11027357051697456,0.9617725831898787,0.8869359521360214,0.7831385436188174
9,42,LR=1e-04_BS=16,0.09635229192317153,0.966575702912356,0.918419082426509,0.7876302506390973
10,42,LR=1e-04_BS=16,0.08377890313539861,0.9706769818778973,0.904501057773619,0.7889012533356649
11,42,LR=1e-04_BS=16,0.07906406477495717,0.9729532031808272,0.949370415652476,0.7897603984022256
12,42,LR=1e-04_BS=16,0.07061842921300171,0.9756645131375882,0.9623770785194656,0.7884664002704037
13,42,LR=1e-04_BS=16,0.06530414053965619,0.9773636835568043,0.9532039470715252,0.7914801846856505
14,42,LR=1e-04_BS=16,0.06091009398307134,0.9791099396331611,0.9926389954917803,0.791946964664505
15,42,LR=1e-04_BS=16,0.059090908090127375,0.9796872916060149,0.9906341258081944,0.7913305592567224
16,42,LR=1e-04_BS=16,0.054567026089576795,0.9812880284482912,1.0247492737748984,0.7906878428775347
17,42,LR=1e-04_BS=16,0.051068537698409314,0.9826220398682157,1.0151937288223087,0.7875983194377172
18,42,LR=1e-04_BS=16,0.04849998295292349,0.9833232995404753,1.0450688087349111,0.7891391327286678
19,42,LR=1e-04_BS=16,0.04558075236691059,0.9845445734147624,1.0401102239919635,0.7903175604327998
20,42,LR=1e-04_BS=16,0.041446254255369096,0.9859325506699215,1.0576676819942978,0.7907028192871
21,42,LR=1e-04_BS=16,0.04120616680266361,0.9858990625871249,1.0779787865514299,0.7875614207241816
22,42,LR=1e-04_BS=16,0.040463412363401986,0.9860879418916217,1.0603434186742429,0.7895753357984543
23,42,LR=1e-04_BS=16,0.03656962345737589,0.987711215628434,1.1274814916787677,0.7867261740949477
24,42,LR=1e-04_BS=16,0.03670876429182665,0.9874447071388943,1.0984288681855363,0.7900175897137333
25,42,LR=1e-04_BS=16,0.03493785200243421,0.9882889902423735,1.1753420556048424,0.7882601526033925
1,123,LR=1e-04_BS=16,1.0046851307339137,0.6409748922109842,0.6850117768368373,0.755206771862454
2,123,LR=1e-04_BS=16,0.6308708511153857,0.7779961326404518,0.5720381943083471,0.7960624597102102
3,123,LR=1e-04_BS=16,0.4434979214138455,0.8427471259184818,0.5729803020785459,0.8022125142846953
4,123,LR=1e-04_BS=16,0.30368055256522364,0.8918642331760136,0.6245710661578303,0.8061838095798335
5,123,LR=1e-04_BS=16,0.2085861834463146,0.9270900710227499,0.6749102323601281,0.7979768795606386
6,123,LR=1e-04_BS=16,0.15430943702629044,0.946320279264803,0.763432683307715,0.7984545373199217
7,123,LR=1e-04_BS=16,0.12830315961882266,0.9553898674501372,0.7862829642980773,0.796926413751469
8,123,LR=1e-04_BS=16,0.10685128847854213,0.9623537685136538,0.7979007794930936,0.8000449908103974
9,123,LR=1e-04_BS=16,0.09428354728054256,0.9665314811803458,0.8418841468821014,0.7992582474755826
10,123,LR=1e-04_BS=16,0.08412927334785152,0.9710651876994035,0.8355762771014933,0.8033109633235833
11,123,LR=1e-04_BS=16,0.07678814555996408,0.9729225088949486,0.8891267948786068,0.7927006123312174
12,123,LR=1e-04_BS=16,0.06998228581497808,0.97623262517282,0.9160291874049173,0.7966525239227126
13,123,LR=1e-04_BS=16,0.06511333071311108,0.9776548612815164,0.9274059093655551,0.7965323322251571
14,123,LR=1e-04_BS=16,0.05790379148795683,0.9805564063990337,0.9454550869537909,0.7989353847207251
15,123,LR=1e-04_BS=16,0.057349581261620756,0.9804333493673077,0.9385215296027276,0.7989910467976065
16,123,LR=1e-04_BS=16,0.05300814006419387,0.9815537726137078,0.9478255237886357,0.7995086245777328
17,123,LR=1e-04_BS=16,0.0517091637467364,0.9818995143470903,0.9392932291432977,0.8020833181566485
18,123,LR=1e-04_BS=16,0.04736526027745438,0.983999977818392,0.9637640556359557,0.8005071347213149
19,123,LR=1e-04_BS=16,0.04350216596385645,0.9851557448128234,1.0158828359596273,0.7999373450822074
20,123,LR=1e-04_BS=16,0.042668253416437395,0.9854785165394796,1.0080480473796494,0.7991016466254368
21,123,LR=1e-04_BS=16,0.04014710630788662,0.9860774950589131,1.0685646393091874,0.7986242641598803
22,123,LR=1e-04_BS=16,0.03828680679260449,0.9869547522290676,1.063347805373627,0.7971711757611367
23,123,LR=1e-04_BS=16,0.03836489940013659,0.9866441924590559,1.036998900292975,0.8003764386157662
24,123,LR=1e-04_BS=16,0.03679635938650463,0.9879003859642157,0.9964743833834221,0.8007278303244144
25,123,LR=1e-04_BS=16,0.03337024384249784,0.9884326588491625,1.1069909771178874,0.7970701353524536
1,2024,LR=1e-04_BS=16,0.9826673762612873,0.650275760879101,0.6816856971760591,0.7551412098808801
2,2024,LR=1e-04_BS=16,0.6333283579362763,0.7754100267198692,0.6100613753477733,0.7821423566475454
3,2024,LR=1e-04_BS=16,0.4478153489443991,0.8420470842005903,0.5950933584674262,0.7929948146433596
4,2024,LR=1e-04_BS=16,0.30691732647253406,0.8910687704380728,0.6304562508493351,0.7981478963877635
5,2024,LR=1e-04_BS=16,0.20696864972859622,0.9264371953375413,0.7242222391896467,0.793786814431877
6,2024,LR=1e-04_BS=16,0.15589672605258723,0.9453166294559778,0.776923739050226,0.7891785553936577
7,2024,LR=1e-04_BS=16,0.12818878848908677,0.9544743815532766,0.8096891338402341,0.7890360712152861
8,2024,LR=1e-04_BS=16,0.10754976696047622,0.9633369650924255,0.8348973689736306,0.7904929777189746
9,2024,LR=1e-04_BS=16,0.09498961236223889,0.9669439186155693,0.889945750308117,0.79399082868912
10,2024,LR=1e-04_BS=16,0.0827352666922845,0.9721668975243339,0.9169727535354103,0.7910390188833822
11,2024,LR=1e-04_BS=16,0.0775364094754681,0.9734985327355096,0.9173948199776527,0.7934523135497129
12,2024,LR=1e-04_BS=16,0.07035991770676596,0.9756871002607104,0.9492352093460019,0.7914790478940995
13,2024,LR=1e-04_BS=16,0.06493643759597326,0.9780869876720157,0.9865047753882263,0.7928251282311634
14,2024,LR=1e-04_BS=16,0.062209752841129534,0.9792991148479994,0.9735687379626796,0.7924707862512455
15,2024,LR=1e-04_BS=16,0.056274293419879134,0.9809860607434528,0.9566723466740106,0.7956792521297312
16,2024,LR=1e-04_BS=16,0.05275145182309594,0.9822886709595338,0.9961494667038429,0.7919406077716232
17,2024,LR=1e-04_BS=16,0.05151803285583867,0.9826096563981388,1.0188045943223092,0.7905672859176487
18,2024,LR=1e-04_BS=16,0.046148980591750134,0.983911406663265,1.0060796343270797,0.7932667190113247
19,2024,LR=1e-04_BS=16,0.04506590270240623,0.9849111174636797,1.0545126896604775,0.7927096952407846
20,2024,LR=1e-04_BS=16,0.0428312942999137,0.985455274934754,1.0268072620722428,0.7905397812516048
21,2024,LR=1e-04_BS=16,0.04051431560178818,0.9860994769451139,1.0552491145332707,0.7910468387363784
22,2024,LR=1e-04_BS=16,0.039090752555634954,0.9867878498417717,1.0924447609385963,0.7924105049169256
23,2024,LR=1e-04_BS=16,0.03705712233601242,0.9876771287461757,1.071866970881795,0.7950224179707515
24,2024,LR=1e-04_BS=16,0.03527873959366342,0.9879999413590739,1.0883697774333247,0.791477977564084
