epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,seed,run_name,run_dir,aug
20,0.3641628935496012,0.955640552075704,0.8956354163692835,0.7223530237360599,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
21,0.3455999134540558,0.9581455465952556,0.8915812127780024,0.718227777416908,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
22,0.3323927939097086,1.0046695255173577,0.8992946574070155,0.7173899596573243,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
23,0.3147779442999098,1.0166103076616924,0.9054866141831543,0.7215707608296462,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
24,0.3034731245305803,0.9900347960154215,0.9142869622499196,0.7211946923848097,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
25,0.2880333744790819,1.0411777046203614,0.9201300765099172,0.7190902925197078,0.01,128,mbv2_blur,123,mbv2_blur_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_123,
0,1.6489863078859115,1.4156037011994256,0.4965100158374101,0.4815150433573748,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
1,1.2316019257863362,1.195488095357683,0.5787005793111475,0.5683516330687668,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
2,1.070698007774353,1.0398391748163436,0.6305049714202844,0.6169472211830531,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
3,0.9623652439117432,0.9853369517697228,0.6688712709576446,0.6497068001948556,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
4,0.8849033079041375,0.8871910481505924,0.7120944236763382,0.6837948663705408,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
5,0.822873378806644,0.9248312612321642,0.7121209268941833,0.6792070048277374,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
6,0.7727907225290934,0.8640480031119453,0.7410410903241912,0.6982166217017995,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
7,0.7232001842604743,0.8394533506605361,0.7577978352406478,0.7044926602863414,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
8,0.6813389802296956,0.8087236935244666,0.7840958017333646,0.7164456576133014,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
9,0.6454386753929986,0.8116951795472039,0.7882214618843005,0.7157366276325551,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
10,0.6063124290148417,0.8200433603445689,0.8136410843703189,0.7228779224449834,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
11,0.5772828191863166,0.8249584109094408,0.8128867639660691,0.7197977475755686,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
12,0.5463449116071065,0.8168642973264059,0.8338098590237651,0.7268090292622913,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
13,0.5125527746518453,0.8184977855311499,0.8465359695953006,0.7256645018913914,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
14,0.4860929179615444,0.861629660987854,0.8440581114580171,0.7240709591696534,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
15,0.4638646565013462,0.9026552837954628,0.8386592337155893,0.7121625302476435,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
16,0.438025274933709,0.913215545601315,0.8555781933629113,0.7148159143221275,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
17,0.4145425602065192,0.920002381600274,0.8692975909079603,0.714493174055411,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
18,0.3938934698634677,0.9391656863106622,0.8716779943613432,0.7165236481265753,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
19,0.3713447104983859,0.9573137847741444,0.8933940940560218,0.7216472217499496,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
20,0.3548546668370564,0.9909994950824312,0.8893688117201737,0.7133683717537863,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
21,0.3361554926925235,0.9644147090011173,0.9039350993303056,0.7184501642745699,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
22,0.3207344074355231,0.995477620707618,0.8992098930396878,0.7153212779860368,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
23,0.3061958652019501,1.0582347384770712,0.9035255992584376,0.7133236349018661,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
24,0.2917067412323422,1.0222902432547676,0.9200723496334786,0.7156030725196448,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
25,0.2791164691289265,1.0759756721708509,0.9116051666612176,0.7143254414032619,0.01,128,mbv2_blur,2024,mbv2_blur_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_2024,
0,1.6043752734714083,1.4078554341422187,0.48119708234792,0.4823383633700257,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
1,1.2015286260604858,1.2099064147631329,0.5769222410566568,0.5644695997772251,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
2,1.0502994522942437,1.06369158967336,0.6199257681793338,0.6170171774181723,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
3,0.9494380690892538,0.9523513608190748,0.6756143480805265,0.6589681925780618,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
4,0.8699507878303527,0.9031460367202758,0.7006866102914298,0.6790255795533076,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
5,0.8107120217641195,0.9019441963937548,0.7080902554022388,0.6761813371818403,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
6,0.7575491309695773,0.8567112141344282,0.7406792516156884,0.696906115042897,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
7,0.7158968023088244,0.8375358574443393,0.7601087888318129,0.7050081824998607,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
8,0.6726843975490994,0.8052237834612529,0.7773869221318993,0.7131236124919758,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
9,0.6357650957531399,0.7978321630795797,0.7971548842807457,0.7202079943735373,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
10,0.5996636281119453,0.8109774907800886,0.8132725904136455,0.7220341706227156,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
11,0.5683851956791348,0.8127147988637289,0.8187740940750808,0.7225591461808941,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
12,0.5389268457306756,0.8507043681144715,0.8174914435841419,0.7142647028763366,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
13,0.5115795422289107,0.8268298960314857,0.8375327126099057,0.7216233847875786,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
14,0.4858620727009243,0.8190067635006375,0.857132380133011,0.7262129119699774,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
15,0.4612622999933031,0.869244884162479,0.8580692317593108,0.7244729675928193,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
16,0.4346762292014228,0.8542087049166361,0.870603943530952,0.7265701353937701,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
17,0.417448977555169,0.8827004729906718,0.8748382805710071,0.7233557436049476,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
18,0.3951417215135362,0.911854856967926,0.8796816950785551,0.7221162640302546,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
19,0.3775586599985758,0.9141585610018836,0.8849746311408205,0.7250655613696143,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
20,0.35802054110633,0.9561593197822572,0.8838853707218197,0.7162002518506276,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
21,0.3427345186975267,1.0000814261012607,0.8964221916781675,0.7195691806266207,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
22,0.3257459298239814,0.9649266949971516,0.904839746751463,0.7220951358620523,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
23,0.3131502166801029,0.9772449255095588,0.911221625932159,0.7258874888682832,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
24,0.3006398529926936,1.0468671365102131,0.904851534648306,0.7129039817234436,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
25,0.2866611819850074,1.034468614519967,0.919009574729132,0.7157550767972445,0.01,128,mbv2_blur,42,mbv2_blur_seed_42,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_42,
0,1.6665674948586358,1.4757981691572402,0.4520974151570806,0.4462258337274009,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
1,1.2455167118496364,1.1614885995546975,0.5782433575594277,0.569339562381337,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
2,1.0778586007859972,1.220966734038459,0.5620791388617278,0.5604565603698872,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
3,0.9743839617941116,0.976600471772088,0.6692365690074122,0.6528048923026027,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
4,0.8919180900891622,0.8864023369047377,0.7044677292107423,0.6758292200526216,0.01,128,mbv2_blur,7,mbv2_blur_seed_7,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_first_part\experiments\mbv2_blur_seed_7,
