shot,n_runs,best_val_acc_mean,best_val_acc_std,best_val_f1_mean,best_val_f1_std,valid_f1_macro_mean,valid_f1_macro_std,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std
5,5,0.17255555555555555,0.013352953157436414,0.1606515048898385,0.010728341749611332,0.15516771211108035,0.00932962842365963,0.17214222222222222,0.01394417308279567,0.15475674324653182,0.01042245349316519
10,5,0.21803333333333336,0.00856673872285592,0.21157912370778176,0.008488581865234041,0.21157912370778176,0.008488581865234041,0.2174288888888889,0.009134153112709447,0.21078059865433252,0.009477249419716453
20,5,0.24453999999999998,0.008120225472755982,0.241423402914113,0.006511953641332756,0.23854715503092572,0.007862189787710154,0.24443333333333334,0.007540028981180177,0.23852240768755126,0.007382586858258545
