epoch,seed,config,train_loss,train_f1,val_loss,val_f1
1,42,LR=1e-02_BS=32,1.4945176592297025,0.4471105701962969,1.2420578114827474,0.5402951307794304
2,42,LR=1e-02_BS=32,1.1380091808742947,0.5854347266665947,1.1968098326709535,0.5776080557222885
3,42,LR=1e-02_BS=32,0.9921082654423183,0.6416315742524039,0.9478959027051925,0.6553608412525003
4,42,LR=1e-02_BS=32,0.8837797226164076,0.682944128206845,1.0036889591919052,0.6468192600802272
5,42,LR=1e-02_BS=32,0.7927722599771287,0.7143103972782597,0.9798547222885821,0.6597006734614578
6,42,LR=1e-02_BS=32,0.7098794473065271,0.7451158665601201,0.8728320584853491,0.699214389692828
7,42,LR=1e-02_BS=32,0.6331839546468523,0.7714717265422203,0.8428612903700935,0.7112487863202435
8,42,LR=1e-02_BS=32,0.5586380085097419,0.7984963759444701,0.9057478873107169,0.6947288473958653
9,42,LR=1e-02_BS=32,0.4933293545511034,0.8215833034505927,0.9377373389176197,0.700964069735132
10,42,LR=1e-02_BS=32,0.4263800319247776,0.845804990539315,0.9485998435844978,0.7105312746632249
11,42,LR=1e-02_BS=32,0.37370362628300985,0.8650507838208151,1.0333997072248824,0.7093415020464177
12,42,LR=1e-02_BS=32,0.32667660472393034,0.882715614869341,1.0674658376688344,0.7072646593980948
13,42,LR=1e-02_BS=32,0.2921189867635568,0.895219320593859,1.08600189941393,0.7082298074023765
14,42,LR=1e-02_BS=32,0.255575479826,0.9078535448924663,1.2322791556185317,0.7023848014886171
15,42,LR=1e-02_BS=32,0.23478410602443747,0.9154661124778416,1.2869726884435861,0.7059817486534585
16,42,LR=1e-02_BS=32,0.21230286294321218,0.9243617105408729,1.3072437130520742,0.6993453996633934
17,42,LR=1e-02_BS=32,0.19507202691419256,0.9303615685475259,1.3542925254747271,0.6984896385407602
18,42,LR=1e-02_BS=32,0.17849658132708734,0.93716606559055,1.4737237977460855,0.7027587469349589
