epoch,seed,config,train_loss,train_f1,val_loss,val_f1
1,42,best_params_plus_augmentation_jitter,0.837820663741562,0.7043511890662559,0.6131654596302452,0.7828908497608991
2,42,best_params_plus_augmentation_jitter,0.41513511236889494,0.8553497853102531,0.6344256471005889,0.7945396543569163
3,42,best_params_plus_augmentation_jitter,0.22209233686435553,0.9235099148387469,0.7303688904686365,0.7963197137318903
4,42,best_params_plus_augmentation_jitter,0.14114958030525596,0.9510599036194062,0.8606259222313756,0.7910367442545424
5,42,best_params_plus_augmentation_jitter,0.10369671766884211,0.9643397853480927,0.8748732394052979,0.7919078555103745
6,42,best_params_plus_augmentation_jitter,0.08573355348963911,0.9708733201257591,0.8753624609128908,0.7966241530328284
7,42,best_params_plus_augmentation_jitter,0.07274639079721593,0.9751101218078781,0.9286972399822944,0.7919329473687944
1,123,best_params_plus_augmentation_jitter,0.8563544164339701,0.6980620587094991,0.6442136974121133,0.7733540473382916
2,123,best_params_plus_augmentation_jitter,0.43023905738178225,0.8502768312977971,0.6377147814886334,0.791233662207796
3,123,best_params_plus_augmentation_jitter,0.22709972647339519,0.9214122807506098,0.7365344220391009,0.7916631853615141
4,123,best_params_plus_augmentation_jitter,0.14311571809743634,0.9507921744066635,0.839625581382391,0.7890965270153428
5,123,best_params_plus_augmentation_jitter,0.10631480750991808,0.9638015315116191,0.8956418094751891,0.7870075449934293
6,123,best_params_plus_augmentation_jitter,0.08613509952089128,0.9703680254150988,0.9527349484520466,0.7856153917815245
7,123,best_params_plus_augmentation_jitter,0.07446113455798219,0.9745821137932887,1.005679731806845,0.785525480323791
1,2024,best_params_plus_augmentation_jitter,0.841116914039188,0.7039915862087851,0.6360180177382607,0.7787329746994851
2,2024,best_params_plus_augmentation_jitter,0.42309724098427426,0.8537855551377376,0.653180603747996,0.7890941006131288
3,2024,best_params_plus_augmentation_jitter,0.22671881014315617,0.9219129832842142,0.7853592161882488,0.7820568087831041
4,2024,best_params_plus_augmentation_jitter,0.14273054911894723,0.9508771528218988,0.8685222014411714,0.7841700843273782
5,2024,best_params_plus_augmentation_jitter,0.10662654470085788,0.9633655234747177,0.9072570089337681,0.7876978539368032
6,2024,best_params_plus_augmentation_jitter,0.08723026126093335,0.9703977069738048,0.9781042548967742,0.7808026881496914
7,2024,best_params_plus_augmentation_jitter,0.0739570737734851,0.9743431113979092,0.9997480793493065,0.7850514847392636
