epoch,seed,config,train_loss,train_f1,val_loss,val_f1
1,42,best_params_plus_augmentation_flips,0.8663560774975353,0.692344141985602,0.6062402433764603,0.7821541883282543
2,42,best_params_plus_augmentation_flips,0.5233774959656927,0.8149334729205491,0.5329782875267272,0.8134793239132035
3,42,best_params_plus_augmentation_flips,0.365667215006219,0.8698435701514539,0.5142728844716266,0.8246156025293987
4,42,best_params_plus_augmentation_flips,0.2530685074567795,0.9085748216160839,0.56719598387754,0.8243805000636435
5,42,best_params_plus_augmentation_flips,0.18043991021658812,0.9356924693769499,0.6112163859873635,0.8220637205050055
6,42,best_params_plus_augmentation_flips,0.13840197227257303,0.9507305111364829,0.6782925306498888,0.8225519942872385
7,42,best_params_plus_augmentation_flips,0.11444782184598347,0.9601694280798974,0.721219847651568,0.8218262108300708
8,42,best_params_plus_augmentation_flips,0.09701128895027149,0.9655795379797439,0.7523441075987671,0.8242576813389272
9,42,best_params_plus_augmentation_flips,0.08638226718727576,0.9699422977964902,0.7426762214486788,0.8279520775926482
10,42,best_params_plus_augmentation_flips,0.07750189426180829,0.9732179667766374,0.78725289667636,0.8225867678516063
11,42,best_params_plus_augmentation_flips,0.06944522189753026,0.976208284593878,0.8071256676582005,0.8201591241601467
12,42,best_params_plus_augmentation_flips,0.06304835523544461,0.9782603912818109,0.8296859872284206,0.8210212723444169
13,42,best_params_plus_augmentation_flips,0.05857239336898686,0.9798611246727678,0.8537258795147099,0.8224693446972335
14,42,best_params_plus_augmentation_flips,0.05501341252210744,0.981166379481138,0.8678183706148015,0.8231637289353276
15,42,best_params_plus_augmentation_flips,0.05172186895931308,0.9823950991948148,0.8601725224712589,0.82461932264862
16,42,best_params_plus_augmentation_flips,0.04845124975500415,0.9832771186391355,0.8859414262793162,0.8239971529132071
17,42,best_params_plus_augmentation_flips,0.0452333165706808,0.9841828959250174,0.8850942467668873,0.8241247888017028
18,42,best_params_plus_augmentation_flips,0.04335941415258486,0.9854273040487183,0.9149374806310929,0.8241359041113734
19,42,best_params_plus_augmentation_flips,0.04150891935221508,0.9857719773622022,0.9044435516199165,0.8229509232658788
20,42,best_params_plus_augmentation_flips,0.03984942539558397,0.9865048326943778,0.9042922105134137,0.8232836308521835
21,42,best_params_plus_augmentation_flips,0.036595672537060295,0.9875830540000774,0.9645174851669951,0.8246598140928653
22,42,best_params_plus_augmentation_flips,0.03531473350919591,0.9881499918634011,0.9650216439916138,0.8234260373691218
23,42,best_params_plus_augmentation_flips,0.03340540789233508,0.9886159800148026,1.0194488730900888,0.8192698878373083
24,42,best_params_plus_augmentation_flips,0.03382585886146493,0.9885885461954773,0.9177830331728977,0.8269603375176725
25,42,best_params_plus_augmentation_flips,0.03220903340731938,0.9889107668953715,0.9730322761642779,0.8253225893230972
1,123,best_params_plus_augmentation_flips,0.875878627550602,0.6895274269779516,0.6044090429511335,0.7851064774958753
2,123,best_params_plus_augmentation_flips,0.5327645566893948,0.8117031406154016,0.5340004870215638,0.8114750595308179
3,123,best_params_plus_augmentation_flips,0.3708411572726236,0.8675599454047553,0.5170716826361578,0.8216374502694652
4,123,best_params_plus_augmentation_flips,0.2555616151465724,0.9079164432920717,0.5781929435949954,0.8223944532113849
5,123,best_params_plus_augmentation_flips,0.18372375469211902,0.9338858665382048,0.6229622407852591,0.8226519998335331
6,123,best_params_plus_augmentation_flips,0.13760344522185625,0.9512405218491633,0.6680947283201565,0.8235189373093735
7,123,best_params_plus_augmentation_flips,0.11513458057625943,0.9595715819834792,0.7085409692722441,0.8232418991382285
8,123,best_params_plus_augmentation_flips,0.09650027367296991,0.9665291092546763,0.7365169926723149,0.8172781641244816
9,123,best_params_plus_augmentation_flips,0.08616011009751043,0.9697555001163497,0.7825528673730677,0.8203806816173405
10,123,best_params_plus_augmentation_flips,0.07721524453060184,0.973121058565698,0.8063632063279749,0.8229517096670991
11,123,best_params_plus_augmentation_flips,0.06996209359068437,0.9759782876589226,0.8425303542800344,0.8204057541690097
12,123,best_params_plus_augmentation_flips,0.06374001272247665,0.9781264511076498,0.8213416801782403,0.8201804727806703
13,123,best_params_plus_augmentation_flips,0.059374900931086286,0.9796046041615526,0.8489663104940663,0.8216894298719005
14,123,best_params_plus_augmentation_flips,0.0556075040408533,0.9811547061883046,0.8840336609469713,0.82005902489781
15,123,best_params_plus_augmentation_flips,0.04962292963272873,0.9831106537496188,0.885808979448967,0.8182653185157098
16,123,best_params_plus_augmentation_flips,0.048130841508935714,0.9834709038549005,0.9269788281620905,0.8189961750337009
17,123,best_params_plus_augmentation_flips,0.04445373300971405,0.9847326887268177,0.9058964163946175,0.8227122723963769
18,123,best_params_plus_augmentation_flips,0.042857556757378755,0.9854163509023268,0.9334258959323992,0.8198328712980617
19,123,best_params_plus_augmentation_flips,0.04190148497905013,0.985415965236859,0.9467333492667547,0.8234820288759744
20,123,best_params_plus_augmentation_flips,0.03953271028308332,0.9865164966901455,0.9026235561468509,0.8224822466827784
21,123,best_params_plus_augmentation_flips,0.037288638304502374,0.9873833150510706,0.9963780420383477,0.8212197286532676
22,123,best_params_plus_augmentation_flips,0.035842149150766715,0.9876162879264095,0.9931164285817371,0.8227300495388228
23,123,best_params_plus_augmentation_flips,0.034305977895473475,0.9881610167293919,0.9618339178427181,0.82340743796417
24,123,best_params_plus_augmentation_flips,0.03338291931547533,0.9887220499477323,0.9910184479554378,0.8212218745705266
25,123,best_params_plus_augmentation_flips,0.03193026103888745,0.9891283009635667,0.9758545028713556,0.8242871590356453
1,2024,best_params_plus_augmentation_flips,0.8708549805396133,0.6918273351372244,0.6023864716153178,0.7850298195301384
2,2024,best_params_plus_augmentation_flips,0.529072950524754,0.8134773276151952,0.5299640971205715,0.8116079263562742
3,2024,best_params_plus_augmentation_flips,0.36891833267476826,0.8692642133072421,0.5302562509382661,0.8222645126186754
4,2024,best_params_plus_augmentation_flips,0.25569187556186485,0.9086742575789712,0.5845820399672242,0.8197939109592486
5,2024,best_params_plus_augmentation_flips,0.18184381604134622,0.9355735298680159,0.6455117507598208,0.8173276652589007
6,2024,best_params_plus_augmentation_flips,0.14036020196369953,0.950567566046416,0.6868607977037091,0.8176647263917921
7,2024,best_params_plus_augmentation_flips,0.11398901438524739,0.9599577943679634,0.7088896458217551,0.8197183306258633
8,2024,best_params_plus_augmentation_flips,0.09858101929212507,0.9655435571024047,0.7602753853902534,0.8184183105005358
9,2024,best_params_plus_augmentation_flips,0.08438785037477631,0.9702683770895261,0.808305613784434,0.8191046110940705
10,2024,best_params_plus_augmentation_flips,0.07628550838839858,0.9732874727466395,0.8002661398195154,0.8205138150212956
11,2024,best_params_plus_augmentation_flips,0.07016832238984838,0.9756486096925039,0.8251702186017134,0.8194374260395751
12,2024,best_params_plus_augmentation_flips,0.06408933202809874,0.9781835565584865,0.8460316133835272,0.8222075584395675
13,2024,best_params_plus_augmentation_flips,0.05937250388717156,0.9795056030459082,0.8811485716057131,0.8207377008011102
14,2024,best_params_plus_augmentation_flips,0.05490781212259398,0.981165811007819,0.8847702790004244,0.8209311411383103
15,2024,best_params_plus_augmentation_flips,0.05141055033368199,0.9827154510353806,0.8769100005620772,0.8170375791970814
16,2024,best_params_plus_augmentation_flips,0.04832588057040832,0.9834938135314575,0.886969865465368,0.820662882822812
17,2024,best_params_plus_augmentation_flips,0.04590820793501593,0.9843716851891647,0.9195539219550306,0.8194859163766639
18,2024,best_params_plus_augmentation_flips,0.04277917769415104,0.9855883493694826,0.9270339351162507,0.8242090522926281
19,2024,best_params_plus_augmentation_flips,0.04092352765103828,0.9859099895222995,0.9206376139976773,0.8247343890423506
20,2024,best_params_plus_augmentation_flips,0.03911332550815221,0.986777361344085,0.9658790141577299,0.8228923504037269
21,2024,best_params_plus_augmentation_flips,0.03733656129110249,0.9868493193165356,1.00281665648581,0.8188871407391425
22,2024,best_params_plus_augmentation_flips,0.03641317850120411,0.9874499852698486,0.9802412524414312,0.8180443203747254
23,2024,best_params_plus_augmentation_flips,0.03433328663284766,0.9883493968176179,0.9964095409936699,0.8233302251554729
24,2024,best_params_plus_augmentation_flips,0.03340627380763961,0.9884657768726409,0.9857195919411746,0.8202500862601928
25,2024,best_params_plus_augmentation_flips,0.03219422151034847,0.9891939671652382,1.0445853042817577,0.8162393896231258
1,7,best_params_plus_augmentation_flips,0.8798522876362006,0.6865791575502753,0.6137540670143647,0.7797321234115018
2,7,best_params_plus_augmentation_flips,0.5332254745672147,0.8111295557082459,0.5287742779487951,0.8129375152779547
3,7,best_params_plus_augmentation_flips,0.37345659129619596,0.8668353924271608,0.5400997993995513,0.8203121593857151
4,7,best_params_plus_augmentation_flips,0.25964172514813644,0.9066685907551679,0.5685144506308224,0.8235986431146063
5,7,best_params_plus_augmentation_flips,0.1838376301234588,0.9346188103835555,0.6257356289630788,0.8221438463688386
6,7,best_params_plus_augmentation_flips,0.14038482072745553,0.95004529531441,0.7337553406948192,0.8093416871748375
7,7,best_params_plus_augmentation_flips,0.11537003385779551,0.9596289290008151,0.6963227244239619,0.8261868134789866
8,7,best_params_plus_augmentation_flips,0.09758362486201287,0.9656743763348932,0.7404094820546934,0.8223936226809998
9,7,best_params_plus_augmentation_flips,0.08526740839053075,0.9700859571113204,0.8280639326601006,0.8185839266684567
10,7,best_params_plus_augmentation_flips,0.07808709295624738,0.9730429960580474,0.8094504753423288,0.819980113939056
11,7,best_params_plus_augmentation_flips,0.07047091597942183,0.9756945217783735,0.8443901820992342,0.8220995325590679
12,7,best_params_plus_augmentation_flips,0.06332962076263243,0.9779506244142088,0.8372797047891134,0.8198593303995858
13,7,best_params_plus_augmentation_flips,0.05944736705991122,0.9795593789368938,0.8451409825785082,0.8224362252273372
14,7,best_params_plus_augmentation_flips,0.055489286950128086,0.9806762864807368,0.8615806075656308,0.8205751135487318
15,7,best_params_plus_augmentation_flips,0.051682427934147485,0.9822278240649226,0.8882322580526621,0.8216453046429472
16,7,best_params_plus_augmentation_flips,0.04829238061158782,0.9833269546391303,0.9077756797421656,0.8181682710998757
17,7,best_params_plus_augmentation_flips,0.04562368651669143,0.984299178583391,0.9378713765787193,0.8201899737614108
18,7,best_params_plus_augmentation_flips,0.04347956863438562,0.9850554044992685,0.9237494176422684,0.8217305915103706
19,7,best_params_plus_augmentation_flips,0.04102225008995269,0.9862386568485648,0.9158139071577436,0.8188253108064671
20,7,best_params_plus_augmentation_flips,0.03952864502468324,0.9862663945827952,0.954565956014128,0.8228499271695189
21,7,best_params_plus_augmentation_flips,0.03792706989855117,0.9869604939625709,0.9444246426006708,0.8211892393580106
22,7,best_params_plus_augmentation_flips,0.03595215099547236,0.9879503172207906,0.9513149576245299,0.8212084197135467
23,7,best_params_plus_augmentation_flips,0.034431252609598596,0.9883221536010716,0.9784974019310427,0.8186094778783881
24,7,best_params_plus_augmentation_flips,0.033020124701245206,0.988999521370739,0.9851197711904325,0.8242281114371781
25,7,best_params_plus_augmentation_flips,0.03176542794132733,0.9892548945583993,0.9900941213193537,0.820726756253169
1,999,best_params_plus_augmentation_flips,0.8757950869248973,0.6899099651094059,0.606183423800663,0.7839552814951516
2,999,best_params_plus_augmentation_flips,0.5253131832083067,0.8148317325472194,0.5234069773684359,0.8136900070334502
3,999,best_params_plus_augmentation_flips,0.3641880066661371,0.8705399605707808,0.5257591127834128,0.8202321453748602
4,999,best_params_plus_augmentation_flips,0.2521880791813963,0.909173162344875,0.5514401640627068,0.823060447973015
5,999,best_params_plus_augmentation_flips,0.18058669642705677,0.9359445795723191,0.6149461169839721,0.824184142562487
6,999,best_params_plus_augmentation_flips,0.13833860154613956,0.950800770746152,0.6900491879947247,0.8183944300844553
7,999,best_params_plus_augmentation_flips,0.1132784692981953,0.9604725703716053,0.7158819872895126,0.8205009417829384
8,999,best_params_plus_augmentation_flips,0.0976729486320323,0.9661274445747251,0.7147201615323998,0.8239752674032952
9,999,best_params_plus_augmentation_flips,0.08498041126248297,0.9696069741622473,0.7830284126084862,0.8205519604485012
