shot,n_runs,best_val_acc_mean,best_val_acc_std,best_val_f1_mean,best_val_f1_std,valid_f1_macro_mean,valid_f1_macro_std,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std
5,5,0.16732888888888892,0.015222452553001932,0.1514379646326134,0.01131512235921822,0.15097302341048163,0.012069321981734427,0.16728,0.015506683943176903,0.1510824082818763,0.011643973112420205
10,5,0.1884311111111111,0.017875321632261337,0.1728266822231276,0.015581961238477117,0.17126032900791904,0.01635123312864507,0.18706444444444442,0.017376096465980553,0.16993570303690347,0.015776496401599453
20,5,0.23169333333333336,0.008287911768442117,0.22773344058306258,0.008405965443833319,0.2248936207349737,0.0051607648630633135,0.23157333333333333,0.008994489396634628,0.2248898879759254,0.0062644858168526135
