config,lr,batch_size,dropout,weight_decay,val_f1_mean,val_f1_std,test_f1_mean,test_f1_std
fewshot_5_samples_per_class,0.0001,16,0.2,0.0,0.18023717023717023,0.05378253366495819,0.16651792651792655,0.07297613318247381
fewshot_10_samples_per_class,0.0001,16,0.2,0.0,0.1584764478519807,0.02498130249575172,0.17157008649872205,0.029865925412116672
fewshot_20_samples_per_class,0.0001,16,0.2,0.0,0.2082967448724383,0.012110684659689267,0.2670931294950025,0.024109866170906623
