epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,weight_decay,dropout,seed,batch_size_from_dir,lr_from_dir,run_name,run_dir
15,0.7350169106165568,0.8191909526851442,0.7713271251631493,0.7074840017301127,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
16,0.7170896573278639,0.8283519137647417,0.7728919896266373,0.7062548986120634,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
17,0.7017450348642137,0.8369148762570487,0.7779873199303846,0.704523805218641,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
18,0.6827325222757128,0.8790225358141793,0.7628319732648159,0.6934600342375153,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
19,0.6675880914476183,0.8409128995895385,0.7819580321506094,0.7060565425647605,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
20,0.6527549385918511,0.8301254750728607,0.7961628794585673,0.7121663045655271,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
21,0.6318231600761414,0.8025631360265943,0.8058743698971444,0.7163921799092764,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
22,0.6207563011593289,0.8275733911673228,0.810956703901976,0.7213627621861263,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
23,0.6081444398138258,0.8184287847889794,0.8131624259573277,0.7192268080077209,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
24,0.5966334555308024,0.8263467467943827,0.8140665521203401,0.7156479581193953,0.01,64,mbv2,0,0.2,123,64,0.01,mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\lr_new\experiments\mbv2_bs64_lr1e-2_wd_0_dp_2e-1_seed_123
