epoch,train_loss,val_loss,train_f1_macro,val_f1_macro,lr,batch_size,arch,seed,run_name,run_dir
20,0.5074768626213074,0.7405192051887513,0.8732163359327864,0.75173143062754,0.01,128,mbv2_random,123,mbv2_random_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_123
21,0.4972981088850233,0.7247437676058875,0.8808535928789389,0.7561562736036943,0.01,128,mbv2_random,123,mbv2_random_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_123
22,0.4841957134882609,0.7440942631456587,0.8841031967865615,0.7559847110790663,0.01,128,mbv2_random,123,mbv2_random_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_123
23,0.4762379136509365,0.7145252485805088,0.8937527452634411,0.7595601845364561,0.01,128,mbv2_random,123,mbv2_random_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_123
24,0.4687692449887594,0.7335746272669899,0.8985945525976051,0.7607140852987591,0.01,128,mbv2_random,123,mbv2_random_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_123
25,0.4577287310070462,0.7262231325785319,0.9063176540683052,0.7619685604819763,0.01,128,mbv2_random,123,mbv2_random_seed_123,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_123
0,1.64578393734826,1.360747600258721,0.4907861590461866,0.4819629389384994,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
1,1.2736187015745375,1.1465793427785238,0.596526959145831,0.5832822546865614,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
2,1.1133389920764498,1.072183333184984,0.626536467326275,0.6094842434321606,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
3,1.0064346893734402,1.0038805175569323,0.6622786375495868,0.6404367586746778,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
4,0.9293100106981066,0.8787973173035516,0.717478671467862,0.6875442316516089,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
5,0.8658567922592163,0.9361733617888556,0.6986141627237938,0.6659995592183204,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
6,0.8197348036766052,0.8341971849441528,0.7479225742652249,0.7056025516230683,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
7,0.7766647884580824,0.773423024834527,0.7737111691703515,0.7229315048157874,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
8,0.7417879571808709,0.7762890709188249,0.7820251074706641,0.7236990438476136,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
9,0.7138730317433675,0.7694903996891446,0.7931211127530898,0.7300544934025803,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
10,0.6853847669177585,0.7527389914830526,0.806007162492889,0.736707155800722,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
11,0.6608912804550595,0.7531106659889221,0.809672700125982,0.7338936777660983,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
12,0.6391592303593954,0.8001979229132334,0.8008656923840091,0.72269926874107,0.01,128,mbv2_random,2024,mbv2_random_seed_2024,C:\Users\jakub\Documents\Magisterskie\DeepLearning\mobilenet\experiments\augmentation_advanced_random\advanced_random\mbv2_random_seed_2024
