shot,n_runs,best_val_acc_mean,best_val_acc_std,best_val_f1_mean,best_val_f1_std,valid_f1_macro_mean,valid_f1_macro_std,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std
5,5,0.11119777777777777,0.00998210250249768,0.04871958796989308,0.00805165753632531,0.039484082980793964,0.014621422997786938,0.1114311111111111,0.010196345266325745,0.03961777618300177,0.014736501286300583
10,5,0.13957999999999998,0.018835349613472233,0.07974269240955044,0.024507667320762823,0.07157637135837328,0.026395635268568078,0.13940222222222223,0.018922841054668484,0.07124122043052691,0.025935434074170195
20,5,0.17234444444444447,0.020818551793182743,0.12181095920433557,0.035915198728525465,0.11120230886336602,0.03604192071591102,0.17231555555555556,0.020031417607299408,0.11117750762297225,0.035812648718912085
